n;error
1;0.692102910806615
2;0.402979866063963
4;0.218979667464763
8;0.114294796931950
16;0.058399633250339
32;0.029518814978706
64;0.014839863800788
128;0.007440131818274
256;0.003725126454194
512;0.001863829673534
1024;0.000932231611482
2048;0.000466195019766
4096;0.000233117315929
8192;0.000116563609791
16384;0.000058283042885
32768;0.000029141830950
